time,mean_G
1967,16.286
1968,16.298
1969,16.306
1970,16.322
1971,16.34
1972,16.342
1973,16.352
1974,16.392
1975,16.404
1976,16.4
1977,16.396
1978,16.39
1979,16.4
1980,16.394
1981,16.438
1982,16.428
1983,16.436
1984,16.422
1985,16.462
1986,16.472
1987,16.446
1988,16.448
1989,16.456
1990,16.418
1991,16.412
1992,16.484
1993,16.474
1994,16.48
1995,16.458
1996,16.484
1997,16.468
1998,16.496
1999,16.462
2000,16.48
2001,16.474
2002,16.496
2003,16.48
2004,16.494
2005,16.512
2006,16.478
2007,16.478
2008,16.498
2009,16.492
2010,16.494
2011,16.402
2012,16.428
2013,16.376
2014,16.382
2015,16.406
2016,16.42
2017,16.444
2018,16.432
2019,16.452
2020,16.438
2021,16.452
2022,16.46
2023,16.5
2024,16.508
2025,16.552
2026,16.548
2027,16.516
2028,16.536
2029,16.524
2030,16.556
2031,16.524
2032,16.532
2033,16.532
2034,16.532
2035,16.512
2036,16.53
2037,16.506
2038,16.576
2039,16.556
2040,16.504
2041,16.498
2042,16.526
2043,16.496
2044,16.532
2045,16.526
2046,16.516
2047,16.52
2048,16.546
2049,16.532
2050,16.504
2051,16.47
2052,16.47
2053,16.51
2054,16.554
2055,16.568
2056,16.564
2057,16.562
2058,16.518
2059,16.526
2060,16.492
2061,16.542
2062,16.524
2063,16.572
2064,16.57
2065,16.59
2066,16.596
2067,16.53
2068,16.514
2069,16.538
2070,16.572
2071,16.536
2072,16.542
2073,16.528
2074,16.538
2075,16.526
2076,16.57
2077,16.526
2078,16.548
2079,16.58
2080,16.63
2081,16.624
2082,16.63
2083,16.648
2084,16.666
2085,16.676
2086,16.638
2087,16.64
2088,16.642
2089,16.618
2090,16.636
2091,16.676
2092,16.664
2093,16.676
2094,16.682
2095,16.71
2096,16.704
2097,16.724
2098,16.73
2099,16.704
2100,16.658
2101,16.684
2102,16.634
2103,16.636
2104,16.592
2105,16.574
2106,16.574
2107,16.6
2108,16.574
2109,16.572
2110,16.58
2111,16.556
2112,16.542
2113,16.564
2114,16.588
2115,16.626
2116,16.66
2117,16.712
2118,16.674
2119,16.624
2120,16.632
2121,16.642
2122,16.622
2123,16.628
2124,16.644
2125,16.63
2126,16.658
2127,16.692
2128,16.604
2129,16.604
2130,16.592
2131,16.58
2132,16.61
2133,16.616
2134,16.68
2135,16.706
2136,16.662
