time,mean_G
1680,29.418
1681,29.396
1682,29.45
1683,29.398
1684,29.444
1685,29.44
1686,29.422
1687,29.366
1688,29.342
1689,29.424
1690,29.41
1691,29.436
1692,29.456
1693,29.374
1694,29.37
1695,29.4
1696,29.404
1697,29.352
1698,29.38
1699,29.356
1700,29.332
1701,29.326
1702,29.3
1703,29.294
1704,29.28
1705,29.282
1706,29.292
1707,29.274
1708,29.256
1709,29.274
1710,29.286
1711,29.3
1712,29.296
1713,29.254
1714,29.322
1715,29.308
1716,29.364
1717,29.388
1718,29.352
1719,29.342
1720,29.312
1721,29.354
1722,29.396
1723,29.38
1724,29.398
1725,29.444
1726,29.408
1727,29.388
1728,29.412
1729,29.46
1730,29.488
1731,29.448
1732,29.422
1733,29.424
1734,29.442
1735,29.426
1736,29.438
1737,29.404
1738,29.42
1739,29.336
1740,29.34
1741,29.338
1742,29.33
1743,29.308
1744,29.26
1745,29.272
1746,29.3
1747,29.322
1748,29.364
1749,29.4
1750,29.352
1751,29.318
1752,29.302
1753,29.286
1754,29.292
1755,29.272
1756,29.284
1757,29.262
1758,29.262
1759,29.306
1760,29.272
1761,29.266
1762,29.264
1763,29.26
1764,29.252
1765,29.224
1766,29.176
1767,29.226
1768,29.23
1769,29.28
1770,29.322
1771,29.39
1772,29.336
1773,29.376
1774,29.422
1775,29.406
1776,29.424
1777,29.388
1778,29.406
1779,29.362
1780,29.338
1781,29.364
1782,29.39
1783,29.39
1784,29.418
1785,29.386
1786,29.4
1787,29.372
1788,29.394
1789,29.38
1790,29.372
1791,29.356
1792,29.314
1793,29.326
1794,29.28
1795,29.236
1796,29.186
1797,29.216
1798,29.242
1799,29.256
1800,29.214
1801,29.254
1802,29.244
1803,29.268
1804,29.238
1805,29.23
1806,29.25
1807,29.264
1808,29.242
1809,29.242
1810,29.258
1811,29.242
1812,29.224
1813,29.228
1814,29.222
1815,29.202
1816,29.198
1817,29.192
1818,29.15
1819,29.15
1820,29.178
1821,29.24
1822,29.308
1823,29.342
1824,29.35
1825,29.372
1826,29.402
1827,29.378
1828,29.412
1829,29.42
1830,29.41
1831,29.444
1832,29.458
1833,29.526
1834,29.504
1835,29.516
1836,29.496
1837,29.484
1838,29.472
1839,29.482
1840,29.52
1841,29.568
1842,29.572
1843,29.592
1844,29.594
1845,29.578
1846,29.552
1847,29.496
1848,29.508
1849,29.476
1850,29.446
1851,29.454
1852,29.386
1853,29.394
1854,29.41
1855,29.398
1856,29.41
1857,29.344
1858,29.348
1859,29.318
1860,29.378
1861,29.352
1862,29.338
1863,29.348
1864,29.34
1865,29.324
1866,29.312
1867,29.336
1868,29.37
1869,29.358
1870,29.372
1871,29.348
1872,29.402
1873,29.378
1874,29.406
1875,29.374
1876,29.394
1877,29.472
1878,29.504
1879,29.466
1880,29.424
1881,29.466
1882,29.422
1883,29.478
1884,29.496
1885,29.46
1886,29.46
1887,29.434
1888,29.462
1889,29.51
